Keynote,First Name,Last Name,ID,Filename,MIT association,Title,Bio
N,Alex,Eleftheriadis,N/A,AlexEleftheriadis.jpg,N,"Partner, Big Pi Ventures","Dr. Alex Eleftheriadis is a Partner at Big Pi Ventures since 2018. In 2005 he co-founded Vidyo, a videoconferencing systems company that was acquired by Enghouse in 2019. Prior to Vidyo, from 1995 to 2005, he was an Associate Professor of Electrical Engineering at Columbia University. He has been involved in video compression and communication research and standardization for nearly 30 years and his inventions are used in practically all modern videoconferencing and digital TV systems. He received his Ph.D. in Electrical Engineering from Columbia University in 1995 and his Diploma in Electrical Engineering from the National Technical University of Athens, Greece, in 1990. He is also a certified offshore sailing instructor of the American Sailing Association and an avid musician."
N,Alisée,de Tonnac,N/A,AliseedeTonnac.jpg,N,"CEO & Co-founder, Seedstars","Alisee de Tonnac is a speaker and the co-founder and co-CEO of Seedstars, a Swiss-based group that aims to impact people's lives in emerging markets through technology and entrepreneurship. Seedstars operates in over 90 countries, working in collaboration with governments, development agencies, corporations, and private donors to develop entrepreneurship ecosystems. The company also invests in high-growth technology companies and fund managers across emerging markets. Alisee sits on several boards of companies and foundations and is a member of the Swiss Innovation Council. She has been recognized as a Social Entrepreneur Forbes 30 under 30, Innovation Fellow of Wired UK, one of Europe's most influential women in the startup and venture capital space, and one of the 29 Powerful Women by Refinery29."
N,AnaMaria,Meshkurti,N/A,AnaMariaMeshkurti.jpg,N,"Head of Marketing, Communications and Engagement, FONGIT","AnaMaria Meshkurti is the Head of Marketing, Communications and Engagement at the FONGIT (Fondation Genevoise pour l’Innovation Technologique), the premier Swiss technology startup innovation platform and incubator. Aiming at achieving positive social and economic impact, FONGIT supports startups in the technology sector who are based in Geneva or want to set up their headquarters in the canton. She is a seasoned startup mentor and judge for startups focusing on emerging technologies including AI, IoT, Blockchain, XR and the Metaverse. She has been a guest judge in many events such as the Experience Accelerators Future of work hackathon and the UN AI for Good Global Summit Innovation Factory. Previously she worked for the United Nations (UN), as programme officer in the UN International Telecommunication Union (ITU) Office for Europe, in charge of digital inclusion, skills, gender, youth, accessibility and innovation matters with European governments. She is a communications professional with a strong background in public relation and engagement, tech start-ups, innovation, and digital skills. Prior to joining ITU she worked for the World Intellectual Property Organization (WIPO), as well as in various UK based NGOs. She holds diplomas in Business Administration (MBA), Marketing and Communications (MA) as well as International Relations and Global Governance (Bs). She is currently the Curator for the World Economic Forum (WEF) Global Shapers Geneva Hub, as well as Chapter Leader for the HULT International Business School Alumni Association of Geneva and part of the Global Hult Alumni Executive Board. She is an angel investor and board member at Swiss Virtual Reality Startup VR4Business.ch. She is a speaker at many international events on topics related to innovation, digital skills, gender, youth, accessibility and standardization. She was awarded the UN ITU Innovation award and recognized as one of the top 100 Swiss Digital Shapers 2022."
Y,Andrey,Zarur,N/A,AndreyZarur.jpg,N,"Co-Founder, President & CEO of GreenLight Biosciences","Andrey Zarur co-founded GreenLight Biosciences in 2008 to develop biological solutions for sustainable food production, pandemics, and global health. He has also co-founded and chaired several other healthcare and clean energy companies. Zarur holds a Ph.D. in Chemical and Biomedical Engineering from MIT and is a frequent speaker at conferences and author of scientific articles and patents. He has been quoted in international media on RNA vaccines and pandemics."
N,Anjali,Sastry,N/A,AnjaliSastry.jpeg,Y,Associate Dean for MIT Open Learning and Lead of Jameel World Education Lab,"Anjali Sastry leads the Jameel World Education Lab and is Associate Dean for Open Learning at the Massachusetts Institute of Technology. J-WEL brings MIT ideas and resources to educational innovators and collaborates globally to develop, assess, and disseminate effective solutions that increase the reach, quality, and ecosystem-wide innovation potential of education. As Senior Lecturer at the MIT Sloan School of Management, she works with Sloan Fellows, MBA students, and others, including via her long-running Breakthrough Ventures class exploring impactful and effective business models in frontier markets. An MIT-trained System Dynamicist, she developed 100 on-the-ground action collaborations with healthcare enterprises in the Global South and guided hundreds of entrepreneurial projects with MIT alumni and students. A former member of the faculty at the Department of Global Health and Social Medicine at Harvard Medical School, the MIT Legatum Center for Development and Entrepreneurship, and advisor to MIT Solve, she was Senior Advisor on innovation and systems thinking to India’s Tata Trusts. Current board service includes weather data innovator TomorrowNow.org, Brazilian healthcare data company QBem, and educational non-profit ResearchILD."
N,Anu,Annaswamy,N/A,AnuAnnaswamy.jpg,Y,Senior Research Scientist at MIT,"Dr. Anu Annaswamy is the Founder and Director of the Active-Adaptive Control Laboratory in the Department of Mech. Eng. at MIT. Her research interests include adaptive control theory, smart grids, and smart cities. She has received several awards and is a Fellow of IEEE and IFAC. She is also the author of a graduate text on adaptive control and has co-authored several National Academy of Sciences reports. In 2020, she served as the President of the IEEE Control Systems Society."
N,Apostolos,Atsalakis,N/A,ApostolosAtsalakis.png,N,Co-Founder of PNOE,"Prior to founding and leading PNOE through its international expansion, Apostolos Atsalakis, born and raised in Athens, completed his graduate degree in Nanotechnology from the University of Cambridge as well as an undergraduate degree in Applied Physics from the National Technical University of Athens. In 2015 while at Cambridge, Apostolos and his long-time friend, Panos Papadiamantis, at the time studying at Stanford, came up with the idea for PNOE, starting their journey into entrepreneurship."
N,Bill,Aulet,N/A,BillAulet.jpg,Y,Managing Director of the Martin Trust Center for MIT Entrepreneurship; Ethernet Inventors Professor of the Practice at the MIT Sloan School of Management,"Bill Aulet is a Managing Director of the Martin Trust Center for MIT Entrepreneurship and a Professor of the Practice at the MIT Sloan School of Management. He is an award-winning educator and author with over 25 years of successful business experience as a serial entrepreneur. Since 2009, he has led the development of entrepreneurship education at MIT. His first book, Disciplined Entrepreneurship, has been translated into 18 languages and he has published widely in various media outlets. Bill has spoken at events and conferences around the world, and he is a board member of MITEK Systems and XL Fleet. He has degrees from Harvard and MIT, and he was named a Professor of the Practice at MIT Sloan in 2017."
N,Brian,Anthony,N/A,BrianAnthony.jpg,N,MIT Professor in Engineering,"Brian is a skilled researcher and innovator with experience in the private and higher education industry. He has expertise in entrepreneurship, public speaking, management, smart manufacturing, medical imaging, computation, and collaborative innovation. He has strong engineering and business skills."
N,Charis,Arvanitis,N/A,CharisArvanitis.png,N,"CEO, Co-founder, Spotawheel","Charis is the CEO and co-founder of Spotawheel and a car enthusiast by nature. He holds an MBA from Carnegie Mellon, Tepper School of Business and an undergraduate degree in Economics from the University of Piraeus. Prior to founding Spotawheel Charis worked for McKinsey & Company as well as the OTE Group, leading multiple strategic and customer facing initiatives of global footprint."
